esd,record_time,soc,pack_voltage (V),charge_current (A),max_cell_voltage (V),min_cell_voltage (V),max_temperature (℃),min_temperature (℃),available_energy (kw),available_capacity (Ah)
1366563,2.02E+13,15.2,323.5,-22.5,3.603,3.584,32,31,6.96,20.94
3075723,2.02E+13,15.6,323.6,-22.5,3.604,3.585,32,31,6.98,20.99
4228788,2.02E+13,15.6,323.6,-22.5,3.605,3.585,32,31,7,21.04
3173284,2.02E+13,15.6,323.8,-22.5,3.606,3.586,32,31,7.01,21.09
3266500,2.02E+13,15.6,323.8,-22.5,3.606,3.587,32,31,7.03,21.14
4099366,2.02E+13,15.6,323.8,-22.5,3.607,3.588,32,31,7.05,21.18
5084244,2.02E+13,15.6,323.9,-22.5,3.608,3.588,32,31,7.06,21.23
2948436,2.02E+13,15.6,323.9,-22.5,3.608,3.588,32,31,7.07,21.28
3515913,2.02E+13,15.6,323.9,-22.5,3.608,3.589,32,31,7.1,21.33
8490014,2.02E+13,15.6,323.9,-22.5,3.609,3.59,32,31,7.11,21.39
7075912,2.02E+13,15.6,324.1,-22.5,3.609,3.59,32,31,7.13,21.45
5226095,2.02E+13,15.6,324.1,-22.5,3.61,3.59,32,31,7.15,21.5
9342496,2.02E+13,16,324.1,-22.5,3.61,3.591,32,31,7.17,21.55
1853945,2.02E+13,16,324.1,-22.5,3.61,3.591,32,31,7.18,21.6
2113485,2.02E+13,16,324.2,-22.5,3.611,3.592,33,31,7.2,21.65
7492587,2.02E+13,16,324.2,-22.5,3.611,3.591,33,31,7.22,21.7
1111437,2.02E+13,16,324.2,-22.5,3.611,3.592,33,31,7.23,21.75
4716378,2.02E+13,16,324.2,-22.5,3.612,3.592,33,31,7.25,21.8
4187340,2.02E+13,16,324.2,-22.5,3.612,3.593,33,31,7.27,21.85
7934936,2.02E+13,16,324.2,-22.5,3.612,3.594,33,31,7.28,21.9
7073357,2.02E+13,16,324.4,-22.5,3.613,3.594,33,31,7.3,21.95
3002716,2.02E+13,16,324.4,-22.5,3.612,3.594,33,31,7.32,22.02
2995135,2.02E+13,16.4,324.4,-22.5,3.613,3.594,33,31,7.34,22.07
5011218,2.02E+13,16.4,324.4,-22.5,3.613,3.595,33,31,7.36,22.12
8554662,2.02E+13,16.4,324.4,-22.5,3.615,3.595,33,31,7.37,22.17
8052184,2.02E+13,16.4,324.4,-22.5,3.614,3.596,33,31,7.39,22.22
6178541,2.02E+13,16.4,324.6,-22.5,3.614,3.596,33,31,7.41,22.27
8499802,2.02E+13,16.4,324.6,-22.5,3.615,3.596,33,31,7.42,22.32
8259939,2.02E+13,16.4,324.6,-22.5,3.615,3.596,33,31,7.43,22.37
2032051,2.02E+13,16.4,324.6,-22.5,3.615,3.597,33,31,7.46,22.42
7357133,2.02E+13,16.4,324.6,-22.5,3.616,3.597,33,31,7.47,22.47
6032746,2.02E+13,16.4,324.7,-22.5,3.616,3.596,33,31,7.48,22.51
4072758,2.02E+13,16.4,324.7,-22.5,3.617,3.597,33,31,7.51,22.56
6830717,2.02E+13,16.8,324.7,-22.5,3.617,3.598,33,31,7.52,22.61
6455251,2.02E+13,16.8,324.7,-22.5,3.617,3.598,33,31,7.54,22.69
5376208,2.02E+13,16.8,324.7,-22.5,3.617,3.599,33,31,7.56,22.74
2914893,2.02E+13,16.8,324.7,-22.5,3.617,3.599,33,31,7.58,22.78
5224755,2.02E+13,16.8,324.9,-22.5,3.618,3.599,33,31,7.59,22.83
8450261,2.02E+13,16.8,324.9,-22.5,3.618,3.599,33,31,7.61,22.87
9731366,2.02E+13,16.8,324.9,-22.5,3.618,3.6,33,31,7.63,22.93
9473434,2.02E+13,16.8,324.9,-22.5,3.618,3.6,33,31,7.64,22.98
2817985,2.02E+13,16.8,324.9,-22.5,3.619,3.6,33,31,7.66,23.03
5820347,2.02E+13,16.8,324.9,-22.5,3.619,3.601,33,31,7.68,23.08
5338238,2.02E+13,16.8,324.9,-22.5,3.62,3.601,33,31,7.69,23.13
3192864,2.02E+13,17.2,325,-22.5,3.62,3.602,33,31,7.71,23.18
9813434,2.02E+13,17.2,325,-22.5,3.621,3.602,33,31,7.72,23.23
6362922,2.02E+13,17.2,325,-22.5,3.621,3.603,33,31,7.75,23.3
3910417,2.02E+13,17.2,325,-22.5,3.621,3.603,33,31,7.76,23.35
9537925,2.02E+13,17.2,325,-22.5,3.621,3.603,33,31,7.78,23.4
5688787,2.02E+13,17.2,325.2,-22.5,3.621,3.604,33,31,7.79,23.45
2189714,2.02E+13,17.2,325.2,-22.5,3.621,3.603,33,31,7.82,23.5
9009117,2.02E+13,17.2,325.2,-22.5,3.622,3.604,33,31,7.83,23.55
6241251,2.02E+13,17.2,325.2,-22.5,3.622,3.604,33,31,7.84,23.6
4027242,2.02E+13,17.2,325.2,-22.5,3.622,3.604,33,31,7.87,23.65
1534730,2.02E+13,17.6,325.2,-22.5,3.623,3.605,33,31,7.88,23.7
