POI_ID,名称,经度,纬度,地址,电话,类型,类型编码,省份,城市,区县,商圈,邮编,数据来源关键词,数据来源区县
B0FFLELBAE,BMW公共充电桩,116.418592,39.914689,励骏酒店停车场(灯市口地铁站C东南口步行340米),[],汽车服务;充电站;充电站,011100,北京市,北京市,东城区,东单,[],充电站,东城区
B0L2T61XDU,PP充电汽车充电站(北京和平里宾馆),116.414390,39.960087,和平里兴化路化工大院4号楼北京和平里宾馆,4006370518,汽车服务;充电站;充电站,011100,北京市,北京市,东城区,安贞,[],充电站,东城区
B0HKFO3NDH,bp pulse汽车充电站(bp pulse快充站北京百荣嘉园大厦),116.394792,39.866642,百荣嘉园大厦停车场,4006644086,汽车服务;充电站;充电站,011100,北京市,北京市,东城区,马家堡村,[],充电站,东城区
B0H3DCRN75,一瓦充电充电站(和平里医院),116.413036,39.958644,和平里医院(靠近西门处),[],汽车服务;充电站;充电站,011100,北京市,北京市,东城区,和平里,[],充电站,东城区
B0J2SPJRPT,万城万充汽车充电站(歌华大厦),116.425040,39.949034,歌华大厦停车场,4008083392,汽车服务;充电站;充电站,011100,北京市,北京市,东城区,东直门,[],充电站,东城区
B0LUUKPTRR,万马爱充汽车充电站(万马爱充金宝大厦站),116.419960,39.916035,建国门街道金宝街89号金宝大厦地下车库,4000850006,汽车服务;充电站;充电站,011100,北京市,北京市,东城区,东四,[],充电站,东城区
B0MD1LV0WW,东四小区南门电动自行车充电桩,116.427017,39.925332,朝阳门内大街148号,[],汽车服务;充电站;充电站,011100,北京市,北京市,东城区,东四,[],充电站,东城区
B0MATLXH92,中国化学大厦充电站(东直门内大街),116.431825,39.940375,仓夹道与北新仓胡同交叉口北40米,[],汽车服务;充电站;充电站,011100,北京市,北京市,东城区,东直门,[],充电站,东城区
B0MAX4K8WQ,中国石化汽车充电站(出版社充电站内部充电站),116.408844,39.963657,安定门外大街58号,95105888,汽车服务;充电站;专用充电站,011103,北京市,北京市,东城区,和平里,[],充电站,东城区
B0K0JB9GO3,中国石化汽车充电站(幸福路全季酒店充电站),116.387260,39.870296,永定门外街道彭庄甲58号全季酒店停车场,95105888,汽车服务;充电站;充电站,011100,北京市,北京市,东城区,右安门,[],充电站,东城区
B0KKDB0WBD,中国石化汽车充电站(鼎新大厦充电站),116.435804,39.894440,东花市街道广渠门内大街29号鼎新大厦西门地上停车场,95105888,汽车服务;充电站;充电站,011100,北京市,北京市,东城区,广渠门,[],充电站,北京市
B0L02UO1V8,丹途骏胜汽车充电站(沙子口),116.407980,39.859170,北京市东城区沙子口路沙子口路78号院,15510120805;4000826699,汽车服务;充电站;充电站,011100,北京市,北京市,东城区,赵公口,[],充电站,北京市
B0LUX9PIMQ,云快充充电站(大磨坊文创园站),116.397610,39.869257,三元街与永定门桥交叉口南180米,[],汽车服务;充电站;充电站,011100,北京市,北京市,东城区,[],[],充电站,东城区
B0J1Z7JTIY,云快充汽车充电站(万国城MOMA淘淘充充电站),116.437132,39.949229,香河园路1号万国城MOMA8号楼北1门外地面停车场,13318415103;4008288517,汽车服务;充电站;充电站,011100,北京市,北京市,东城区,柳芳,[],充电站,东城区
B0KUPUEM5Z,云快充目的地充电站(北京泓慧能源),116.416336,39.928360,时代凌宇,4008288517,汽车服务;充电站;个人充电站,011104,北京市,北京市,东城区,东四,[],充电站,东城区
B0JRPKCJ4B,云快充目的地充电站(港澳中心瑞士酒店),116.435750,39.932777,朝阳门北大街2号东门(东四十条地铁站C东南口步行180米),4008288517,汽车服务;充电站;充电站,011100,北京市,北京市,东城区,东四,[],充电站,东城区
B0MDO7WIAT,仓4-10电动自行车充电桩,116.428095,39.928511,南门仓胡同4号,[],汽车服务;充电站;充电站,011100,北京市,北京市,东城区,东四,[],充电站,东城区
